date,晚盘价,早盘价
2022-01-03,371.11,371.1
2022-01-04,372.52,372.81
2022-01-05,370.06,371.38
2022-01-06,368.26,368.24
2022-01-09,368.6,369.07
2022-01-10,371.66,371.02
2022-01-11,373.6,373.5
2022-01-12,374.32,374.11
2022-01-13,374.31,374.19
2022-01-16,372.41,372.39
2022-01-17,371.83,372.69
2022-01-18,371.61,371.62
2022-01-19,376.31,376.35
2022-01-20,376.4,376.2
2022-01-23,375.39,375.13
2022-01-24,376.1,375.92
2022-01-25,376.73,376.95
2022-01-26,370.81,371.14
2022-01-27,368.69,368.52
2022-02-06,371.12,371.0
2022-02-07,373.21,373.65
2022-02-08,374.94,374.81
2022-02-09,375.87,376.13
2022-02-10,373.97,374.28
2022-02-13,379.9,381.02
2022-02-14,384.18,382.86
2022-02-15,378.81,378.27
2022-02-16,382.64,381.06
2022-02-17,385.42,385.35
2022-02-20,385.32,386.23
2022-02-21,389.73,389.41
2022-02-22,386.94,386.83
2022-02-23,394.94,389.23
2022-02-24,390.06,388.51
2022-02-27,387.87,388.87
2022-02-28,387.9,386.8
2022-03-01,393.51,394.1
2022-03-02,392.32,392.66
2022-03-03,393.75,393.6
2022-03-06,402.29,404.81
2022-03-07,409.6,402.5
2022-03-08,415.48,415.71
2022-03-09,402.67,400.65
2022-03-10,403.65,405.66
2022-03-13,401.68,402.62
2022-03-14,393.83,397.58
2022-03-15,390.79,391.51
2022-03-16,394.54,394.51
2022-03-17,395.07,395.73
2022-03-20,393.89,394.47
2022-03-21,396.44,395.7
2022-03-22,393.85,394.26
2022-03-23,398.27,398.71
2022-03-24,400.83,401.69
2022-03-27,396.92,400.0
2022-03-28,394.59,394.98
2022-03-29,393.96,394.14
2022-03-30,393.55,393.92
2022-03-31,395.3,395.73
2022-04-05,393.62,394.52
2022-04-06,394.18,393.53
2022-04-07,395.05,395.77
2022-04-10,398.22,398.24
2022-04-11,400.81,401.08
2022-04-12,402.44,402.65
2022-04-13,402.94,404.41
2022-04-14,404.46,404.57
2022-04-17,406.75,406.04
2022-04-18,404.34,404.63
2022-04-19,399.31,400.29
2022-04-20,404.02,402.6
2022-04-21,405.9,404.99
2022-04-24,403.75,404.68
2022-04-25,400.55,400.55
2022-04-26,400.32,400.86
2022-04-27,399.74,397.71
2022-04-28,404.95,405.48
2022-05-04,403.77,403.69
2022-05-05,402.81,402.47
2022-05-08,404.53,404.36
2022-05-09,401.62,402.5
2022-05-10,399.39,397.69
2022-05-11,403.31,402.51
2022-05-12,399.36,399.82
2022-05-15,395.58,396.64
2022-05-16,397.72,397.99
2022-05-17,393.27,393.76
2022-05-18,394.87,395.33
2022-05-19,397.45,397.7
2022-05-22,397.41,398.73
2022-05-23,398.43,397.17
2022-05-24,398.97,399.63
2022-05-25,400.67,399.82
2022-05-26,402.36,402.18
2022-05-29,398.96,399.63
2022-05-30,397.85,397.64
2022-05-31,395.47,395.36
2022-06-01,398.46,398.08
2022-06-05,397.35,397.36
2022-06-06,395.57,395.31
2022-06-07,397.38,397.19
2022-06-08,398.11,399.17
2022-06-09,396.97,397.57
2022-06-12,403.61,403.77
2022-06-13,395.92,396.76
2022-06-14,393.91,393.59
2022-06-15,395.19,395.02
2022-06-16,397.83,397.62
2022-06-19,396.36,396.61
2022-06-20,395.56,396.12
2022-06-21,395.52,395.24
2022-06-22,396.03,396.34
2022-06-23,393.21,393.96
2022-06-26,395.78,395.51
2022-06-27,393.52,393.76
2022-06-28,392.86,393.57
2022-06-29,392.06,392.95
2022-06-30,388.67,389.85
2022-07-03,390.58,390.61
2022-07-04,390.21,390.3
2022-07-05,382.32,382.94
